Galaxy,Mbar_Msun,Reff_kpc,lambda
CamB,53460000.0,1.21,2.1143476620881548e-09
D512-2,270230000.0,2.37,5.456548641269385e-09
D564-8,55070000.00000001,0.72,3.66028916113152e-09
D631-7,483700000.0,1.22,1.8973570811698786e-08
DDO064,359130000.0,1.2,1.4321986342151764e-08
DDO154,392250000.00000006,0.65,2.8879017331417753e-08
DDO161,2106740000.0,2.04,4.9421234497199616e-08
DDO168,644790000.0,1.29,2.3920012312846582e-08
DDO170,1249050000.0,3.03,1.972740728560982e-08
ESO079-G014,30042700000.0,7.23,1.988536099545145e-07
ESO116-G012,3586390000.0,2.75,6.241049639371472e-08
ESO444-G084,215050000.00000003,0.75,1.372179728958199e-08
ESO563-G021,187904840000.0,10.59,8.491312463111674e-07
F561-1,4195760000.0000005,5.39,3.725243699791299e-08
F563-1,5207500000.0,4.61,5.405814875229404e-08
F563-V1,1581300000.0,5.01,1.5104604592732224e-08
F563-V2,4377770000.0,4.49,4.665942854778166e-08
F565-V2,1209170000.0,3.57,1.6208841044044723e-08
F567-2,4324170000.0,5.43,3.8109718917797446e-08
F568-1,9108340000.0,7.0,6.226930371238809e-08
F568-3,8422350000.0,7.47,5.3956714746412235e-08
F568-V1,5225530000.0,4.4,5.683429598082055e-08
F571-8,7452060000.0,1.4,2.5473060262514294e-07
F571-V1,2543110000.0,4.38,2.7785860492071654e-08
F574-1,7955420000.000001,5.87,6.485714502044394e-08
F574-2,3700830000.0000005,6.48,2.733108959544492e-08
F579-V1,8909850000.0,5.76,7.402539354981767e-08
F583-1,3320580000.0,3.74,4.248886806933361e-08
F583-4,1710030000.0,3.31,2.4723420274394018e-08
IC2574,1885880000.0000002,3.18,2.8380480924222187e-08
IC4202,106268080000.0,8.55,5.947980486435555e-07
KK98-251,195450000.0,1.28,7.307326639831578e-09
NGC0024,2843580000.0,2.01,6.770211081891673e-08
NGC0055,4395450000.0,3.67,5.731523740739574e-08
NGC0100,4262700000.0,2.81,7.259576144209757e-08
NGC0247,5988180000.0,5.87,4.881907663813122e-08
NGC0289,72566270000.0,2.69,1.2909675803773584e-06
NGC0300,2705880000.0,1.77,7.315905416149596e-08
NGC0801,187142330000.0,7.76,1.1540991650347698e-06
NGC0891,75104460000.0,3.68,9.766764702693498e-07
NGC1003,11230400000.0,2.76,1.9472376530347032e-07
NGC1090,47703890000.0,6.36,3.589463115776702e-07
NGC1705,451370000.0,0.49,4.408282584447819e-08
NGC2366,978510000.0000001,1.08,4.335850792396107e-08
NGC2403,9275170000.0,2.16,2.054948503035666e-07
NGC2683,42077480000.0,3.34,6.028872108315296e-07
NGC2841,107061250000.0,5.51,9.298513514579141e-07
NGC2903,44325660000.0,4.54,4.6723156374370423e-07
NGC2915,996140000.0,0.53,8.994506204378229e-08
NGC2955,198213170000.0,7.22,1.3137965751371935e-06
NGC2976,1914260000.0,1.31,6.992982551427384e-08
NGC2998,106640830000.0,7.06,7.228557355326024e-07
NGC3109,731410000.0,1.64,2.13427246547311e-08
NGC3198,33595270000.0,5.84,2.7529486104026565e-07
NGC3521,47942820000.0,2.45,9.364623189636731e-07
NGC3726,43726090000.0,7.52,2.7826310026522383e-07
NGC3741,256060000.0,0.32,3.829345734244613e-08
NGC3769,16693070000.0,2.18,3.664481526817996e-07
NGC3877,38239890000.0,4.39,4.168549182204648e-07
NGC3893,36975170000.0,2.43,7.281766047629366e-07
NGC3917,13494040000.0,5.56,1.1614486602842337e-07
NGC3949,23516930000.0,2.39,4.7088574273369725e-07
NGC3953,74417060000.0,6.17,5.771918099443122e-07
NGC3972,8791120000.0,3.73,1.1278937555053599e-07
NGC3992,135542670000.0,9.99,6.492969516233413e-07
NGC4010,12363060000.0,6.63,8.923706220006687e-08
NGC4013,43493110000.0,4.11,5.064207092506846e-07
NGC4051,51221010000.0,6.87,3.567994831036815e-07
NGC4068,322820000.0,1.11,1.3917789706425461e-08
NGC4085,12656170000.0,2.0,3.028343394602805e-07
NGC4088,64583580000.0,6.1,5.066698897676302e-07
NGC4100,33822660000.0,4.93,3.2831721594613816e-07
NGC4138,24027890000.0,1.91,6.0202577242424e-07
NGC4157,63750580000.0,4.44,6.871222090504405e-07
NGC4183,10081980000.0,4.47,1.0793719412655698e-07
NGC4214,1216880000.0,0.7,8.31921846368612e-08
NGC4217,46056960000.0,5.28,4.1744009644584896e-07
NGC4389,11380870000.0,4.05,1.3447862350623451e-07
NGC4559,17417130000.0,3.82,2.1819562894751475e-07
NGC5005,91062400000.0,3.97,1.0976942801388502e-06
NGC5033,70302120000.0,2.94,1.1443369122366746e-06
NGC5055,92051260000.0,4.18,1.0538681306761366e-06
NGC5371,185065900000.0,9.8,9.037184393570259e-07
NGC5585,3709890000.0000005,2.27,7.821102747334754e-08
NGC5907,115675750000.0,7.88,7.0250419546822e-07
NGC5985,119773380000.0,10.71,5.351846522071517e-07
NGC6015,23823720000.0,3.92,2.9084146590591195e-07
NGC6195,223344310000.0,9.52,1.1227181927112758e-06
NGC6503,8742020000.0,1.62,2.5824361763730987e-07
NGC6674,150106450000.0,7.75,9.268948461012552e-07
NGC6789,72610000.0,0.52,6.68229907085482e-09
NGC6946,40627600000.0,4.2,4.629186663917204e-07
NGC7331,140034610000.0,3.99,1.6795591617491216e-06
NGC7793,4670130000.0,2.19,1.0205109543813566e-07
NGC7814,38687600000.0,2.08,8.901050596804948e-07
PGC51017,344830000.0,1.28,1.289222535284279e-08
UGC00128,15893230000.000002,9.63,7.898028508066411e-08
UGC00191,2788190000.0,2.5,5.337220830249654e-08
UGC00634,6366290000.0,4.26,7.151705701154735e-08
UGC00731,2564810000.0,1.4,8.767181113933501e-08
UGC00891,756240000.0,1.76,2.0562683590246222e-08
UGC01230,12361900000.0,6.45,9.171879223008364e-08
UGC01281,567520000.0,2.01,1.3511946888060692e-08
UGC02023,1288410000.0,2.73,2.2585216376807758e-08
UGC02259,1519520000.0,2.4,3.0298979041887965e-08
UGC02455,2892490000.0,1.49,9.29005774577389e-08
UGC02487,268868290000.0,9.63,1.3361219961801768e-06
UGC02885,255062250000.0,12.2,1.00050478845694e-06
UGC02916,93029590000.0,2.8,1.5899954859911199e-06
UGC02953,139970740000.0,5.03,1.3316867828736383e-06
UGC03205,69691410000.0,5.35,6.2338778039783e-07
UGC03546,54225750000.0,2.58,1.0058163182379848e-06
UGC03580,12445100000.0,1.84,3.236781501431229e-07
UGC04278,2137780000.0000002,2.46,4.158729933725366e-08
UGC04305,1285700000.0,1.23,5.0022725217662274e-08
UGC04325,1914740000.0,2.79,3.2842667424497697e-08
UGC04483,49060000.0,0.26,9.029984641678485e-09
UGC04499,2239000000.0,2.69,3.983223076595925e-08
UGC05005,6163690000.0,5.02,5.875838987863261e-08
UGC05253,107597680000.0,4.28,1.2030729273370273e-06
UGC05414,1324920000.0,2.33,2.7212381487656278e-08
UGC05716,1749020000.0000002,1.84,4.5489353895374475e-08
UGC05721,1012960000.0000001,0.6,8.079302361343275e-08
UGC05750,3129670000.0,8.8,1.7019574196521182e-08
UGC05764,259290000.0,1.2,1.0340399962845018e-08
UGC05829,1642590000.0,2.91,2.7012762567677235e-08
UGC05918,511510000.0,2.63,9.307460372546774e-09
UGC05986,5894610000.0,3.12,9.041350347989609e-08
UGC05999,4381260000.0,4.83,4.340949280389364e-08
UGC06399,2044420000.0,3.45,2.8358538271956175e-08
UGC06446,2328070000.0,2.06,5.4083106574826485e-08
UGC06614,91286040000.0,3.68,1.1871056303722398e-06
UGC06628,3864500000.0,4.14,4.467101148164869e-08
UGC06667,1774470000.0,3.5,2.426238180799603e-08
UGC06786,43393400000.0,3.42,6.07198079705808e-07
UGC06787,55817900000.0,2.88,9.274997928414884e-07
UGC06818,2229070000.0,2.12,5.0317686130948905e-08
UGC06917,6106590000.0,4.52,6.465366418484831e-08
UGC06923,2520970000.0,1.66,7.267623243918655e-08
UGC06930,8771210000.0,4.38,9.583369079853557e-08
UGC06973,29266490000.0,1.61,8.699165219938272e-07
UGC06983,6595110000.0,3.95,7.990202089225208e-08
UGC07089,3407120000.0,3.9,4.180763863616743e-08
UGC07125,7512569999.999999,3.92,9.171392509317507e-08
UGC07151,1961280000.0,2.17,4.32526460807711e-08
UGC07232,117680000.0,0.46,1.2242712299247964e-08
UGC07261,2722540000.0,2.66,4.898075197512016e-08
UGC07323,3014760000.0,3.26,4.4255572177614774e-08
UGC07399,1568850000.0,1.27,5.911674544949454e-08
UGC07524,3584070000.0,3.61,4.75118670575922e-08
UGC07559,279270000.0,0.98,1.3637382605830498e-08
UGC07577,81020000.0,0.77,5.0354041029506855e-09
UGC07603,531140000.0,0.85,2.990356037195964e-08
UGC07608,843550000.0000001,1.6,2.523037252301838e-08
UGC07690,947700000.0,0.86,5.2735764362547585e-08
UGC07866,218940000.0,0.95,1.1028953971222412e-08
UGC08286,1481360000.0,2.25,3.150727990838592e-08
UGC08490,1466100000.0,1.14,6.154482741546079e-08
UGC08550,527540000.0,1.01,2.4995788253754305e-08
UGC08699,30122540000.0,1.91,7.547290007936636e-07
UGC08837,676100000.0,2.25,1.4380077729964166e-08
UGC09037,59680740000.0,5.69,5.01943400810606e-07
UGC09133,185922240000.0,5.92,1.5029427998193057e-06
UGC09992,590940000.0,1.62,1.7456661435982975e-08
UGC10310,2461180000.0,3.12,3.775040358813402e-08
UGC11455,204896550000.0,10.06,9.74696666929844e-07
UGC11557,9515150000.0,4.18,1.0893618776758778e-07
UGC11820,3114410000.0000005,2.74,5.439488189384795e-08
UGC11914,76195040000.0,3.12,1.1687050566858236e-06
UGC12506,117074980000.0,12.36,4.532923996118157e-07
UGC12632,2970020000.0000005,3.94,3.607413845381635e-08
UGC12732,5701300000.000001,3.12,8.744844992118762e-08
UGCA281,179460000.0,1.57,5.470170042491341e-09
UGCA442,419790000.00000006,1.71,1.17481313692728e-08
UGCA444,95110000.00000001,0.41,1.1101333270868457e-08
